,_id,Datetime,Tweet Id,Text,Username
38,6402fef06eb880dac6b5bbb9,1675382379000,1621297325405618177,@elonmusk @TitterTakeover @Twitter Progress is right!  We needed the truth and Elon is delivering.  So thankful for what Elon is doing and has done.  Bringing truth and integrity back will ripple throughout the country!,BobGruensfelder
39,6402fef06eb880dac6b5bbba,1675382378000,1621297324210241538,Elon Musk Throws Dogecoin Around The Moon With His Bare Hands https://t.co/WxpV3n9EXo via @YouTube,justelonmusk69
40,6402fef06eb880dac6b5bbbb,1675382378000,1621297323081883651,"O segredo do sucesso nada mais é que a: persistência, resistência e nunca desistir do seus objetivos, arrisque.
@elonmusk 
#ElonMuskNews https://t.co/LaPhJyLqk4",MillerSarah7368
41,6402fef06eb880dac6b5bbbc,1675382378000,1621297321907572739,@LoriMills4CA42 @DonaldJTrumpJr @elonmusk Don set it so you can't do it. He's doing different things with his account,MaliceinOH
42,6402fef06eb880dac6b5bbbd,1675382377000,1621297319126646786,@elonmusk @TrungTPhan That's what she said.,Michell08843508
43,6402fef06eb880dac6b5bbbe,1675382377000,1621297319030423553,"When @elonmusk says he’s going to fix @Twitter 😂.  

He probably will, but at the moment… https://t.co/XFtineZ6Dg",C6feels
44,6402fef06eb880dac6b5bbbf,1675382376000,1621297311857971201,"@topherAlba26 @elonmusk @itsALLrisky @cb_doge @BillyM2k @ALL_IN_MCDOGE_1 @GloryDoge @WhitneyWalker33 @djdoge69 @DogecoinNorway @MyDogeCTO @Dogememegirl @DogecoinTweet @sheetz This guy is a character 😂 🤣 
I would follow him if I used tiktok!",kiteboarderdoge
45,6402fef06eb880dac6b5bbc0,1675382374000,1621297305210032128,@lhallwriter Elon Musk?,jake93782476
46,6402fef06eb880dac6b5bbc1,1675382374000,1621297303398014978,@davidscottjaffe @elonmusk Why did you???,Rsoaker27
47,6402fef06eb880dac6b5bbc2,1675382371000,1621297294069972992,"@elonmusk Purpose
Depending on their upbringing, people born on June 28th may be faced with a task to detach from primal commitments and ties in order to fly. Their life stories lead towards liberation, from their family or their partners, and this can be stressful if they arent",grudovd1
48,6402fef06eb880dac6b5bbc3,1675382371000,1621297293868539904,"@elonmusk @TitterTakeover @NFL Twitter, Real News in Real Time.",Freedom_Brains
49,6402fef06eb880dac6b5bbc4,1675382370000,1621297287677808640,"vai se FODER, elon musk https://t.co/dUJq1EFk7O",SPIRALJAX
50,6402fef06eb880dac6b5bbc5,1675382369000,1621297286381715458,@elonmusk @TitterTakeover @Twitter Your absolutely astounding for your lack of understanding that allowing conspiracy theorists and allowing communist leaders meanwhile they suppress everyone in their dictatorship but yet you fuss and moan and hate government trying to prevent the same communist propaganda here!,mmurph21
51,6402fef06eb880dac6b5bbc6,1675382369000,1621297283575992322,@elonmusk @BillyM2k @ericnakagawa Looking forward to that day when “we all get aloan”,JosieT615
52,6402fef06eb880dac6b5bbc7,1675382369000,1621297282879463424,"@elonmusk stop playing with my feeling I'll cry and kill myself y'all embarrass me, I don't wanna tell you what I wanna tell you because it'll be hurtful all y'all hurt me,y'all not on my side y'all want me to cry and try kill myself I'm crying, if it was armegedon",doprayasacareer
53,6402fef06eb880dac6b5bbc8,1675382368000,1621297281709359104,@CassyArsenault @Bengals @Local12 @elonmusk would this be doxxing?,DVeddern
54,6402fef06eb880dac6b5bbc9,1675382368000,1621297281684377600,@teslaownersSV @elonmusk @TitterTakeover @NFL この速報を日本人の99.99%は知らない。,watawatadayone
55,6402fef06eb880dac6b5bbca,1675382368000,1621297281462046721,@ThatsAHoot31 @leftymagnet @DavidSacks @alx @elonmusk Manafort admitted it to the media. In an interview. No Feds there to coerce a false testimony. Please come back to reality.,seunghong
56,6402fef06eb880dac6b5bbcb,1675382368000,1621297280761339905,@elonmusk @LeighWolf 👍,jmunrojr1954
57,6402fef06eb880dac6b5bbcc,1675382368000,1621297280518160386,"@MarkDavis @elonmusk Except thousands of people have actually preordered one. It’s a wild looking “truck”, but you not liking it doesn’t mean that it won’t hit the market. I hate Fidget-Spinners, but they were on the market and found customers to buy it. Markets don’t care about our feelings.",Stephen_Agnew
58,6402fef06eb880dac6b5bbcd,1675382367000,1621297277125156865,@Project_Veritas @elonmusk Elon Musk is still allowing Twitter employees to censor and suspend people.  @surfingcity was suspended because he is Catholic and also spoke out against election fraud.  No other reason.,voteLife123
59,6402fef06eb880dac6b5bbce,1675382367000,1621297274625081347,"@elonmusk @TitterTakeover @Twitter Integrity is like virginity.  You either have it, or you don’t.☝️",follywatch
60,6402fef06eb880dac6b5bbcf,1675382365000,1621297269495533571,@laysacv_ @tap4president_ helemaal niet! @elonmusk fix deze kanker app,VlRG9
61,6402fef06eb880dac6b5bbd0,1675382365000,1621297267759284225,"@elonmusk 
What if Our Government actually solved problems with our tax dollars instead of wasting them (on special no bid contracts that repay/reward “donors”) and actually making the problems worse so Our Government could raise our Taxes increase budget to solve more problems?",donkeyman909
